id_item;pontuacao;identificador;texto;id_questao
1;1;A;As propagandas indicam que o computador tornava-se um equipamento pessoal, utilizado nos lares.;1
2;4;B;A propaganda do TK95 apela para a questão da informação, tanto em seu texto como na imagem, demonstrando outros usos potenciais para aquela máquina.;1
3;0;C;"O TK 85 era um equipamento pouco sofisticado, o que tornava extremamente lento
para o usuário comum navegar na internet.";1
4;5;D;À medida que havia mais recursos tecnológicos, o computador se tornava mais presente na vida das pessoas, deixando de ser um equipamento prioritariamente de trabalho, trazendo recursos de lazer.;1
5;1;A;Na carta ao rei de Portugal Pero Vaz de Caminha descreve a terra encontrada.;2
6;4;B;O documento descreve uma população nativa que o autor narra como generosa e gentil, e por este motivo deve ser cuidada.;2
7;5;C;A carta indica ao rei de Portugal formas de se apossar de riquezas e de expandir o cristianismo.;2
8;0;D;A carta indica que os índios produziam seus alimentos em roças e criavam rebanhos para seu sustento.;2
9;5;A;Foi considerado o primeiro documento escrito sobre o Brasil.;3
10;0;B;Pero Vaz de Caminha foi o único a dar a boa nova do achamento do Brasil.;3
11;0;C;Por meio deste documento os portugueses declararam a posse do Brasil.;3
12;1;D;Descreve a natureza e as gentes.;3
13;1;A;É uma fotografia panorâmica da construção da capital federal do Brasil durante o governo de Juscelino Kubitschek (1955-1960).;4
14;0;B;É um plano urbano cujos prédios, ainda em sua estrutura, abrigariam moradias populares.;4
15;5;C;É um documento que registra a construção da capital do Brasil.;4
16;4;D;Mostra a construção de uma cidade planejada.;4
17;1;A;Se trata de uma estátua feita em madeira, provavelmente por algum artista da região das minas.;5
18;4;B;Era utilizada para o contrabando de ouro, driblando a fiscalização colonial.;5
19;0;C;Era utilizada somente por fiéis que guardavam relíquias em seu interior.;5
20;5;D;O uso atual da expressão “santo do pau oco” deriva do uso desse objeto para a contravenção.;5
21;5;A;A configuração geográfica do território brasileiro resulta de um processo histórico.;6
22;4;B;A maior parte do território brasileiro já estava configurada em 1822.;6
23;1;C;A região cisplatina deixou de pertencer ao Brasil.;6
24;0;D;A área compreendida pela floresta Amazônica não integrava em 1822 o território brasileiro.;6
